CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-06-02 00:00,m^3/s,2001,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-06-03 00:00,m^3/s,1731,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-06-04 00:00,m^3/s,1458,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-06-05 00:00,m^3/s,1543,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-06-06 00:00,m^3/s,1455,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-06-07 00:00,m^3/s,1249,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-06-08 00:00,m^3/s,1279,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-06-09 00:00,m^3/s,1349,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-06-10 00:00,m^3/s,1649,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-06-11 00:00,m^3/s,1417,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-06-12 00:00,m^3/s,1238,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-06-13 00:00,m^3/s,1091,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-06-14 00:00,m^3/s,1159,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-06-15 00:00,m^3/s,1233,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-06-16 00:00,m^3/s,1175,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-06-17 00:00,m^3/s,1207,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-06-18 00:00,m^3/s,1303,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-06-19 00:00,m^3/s,1532,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-06-20 00:00,m^3/s,1512,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-06-21 00:00,m^3/s,1365,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-06-22 00:00,m^3/s,1238,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-06-23 00:00,m^3/s,1499,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-06-24 00:00,m^3/s,1574,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-06-25 00:00,m^3/s,1909,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-06-26 00:00,m^3/s,1860,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-06-27 00:00,m^3/s,1643,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-06-28 00:00,m^3/s,1564,Definitivo
